date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:37	694/694	---MCZ	404	error ('Not%20Found')	text/html	etag:%2263e-DZJYjiZIH3B2ZdU7lZsu4LSL0mk%22	https://pepenftpulse.com/robots.txt		(from )
12:48:37	2208/2208	---M-Z	200	added ('OK')	text/html	etag:%22aab2494a776710526e117b899c738026-ssl-df%22	https://pepenftpulse.com/	/Users/oneilbenjamin/websites/pepes/index-2.html	(from )
12:48:38	20406/20406	---M-Z	200	added ('OK')	text/css	etag:%22e5343468a20cbb202fdeef07ccdb51e7-ssl-df%22	https://pepenftpulse.com/_next/static/css/3aa24837f91424f5.css	/Users/oneilbenjamin/websites/pepes/_next/static/css/3aa24837f91424f5.css	(from https://pepenftpulse.com/)
12:48:39	14685/14685	---M-Z	200	added ('OK')	text/css	etag:%226172a62b5ed010300d22bef18b24aceb-ssl-df%22	https://pepenftpulse.com/_next/static/css/1664ba50efb73300.css	/Users/oneilbenjamin/websites/pepes/_next/static/css/1664ba50efb73300.css	(from https://pepenftpulse.com/)
12:48:41	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:%22985a299bd8c14f418246a3b1713bc887-ssl-df%22	https://pepenftpulse.com/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://pepenftpulse.com/)
12:48:42	2292/2292	---MCZ	200	added ('OK')	application/javascript	etag:%22843860d72c7620df274cc02af816ceaf-ssl-df%22	https://pepenftpulse.com/_next/static/chunks/webpack-5761f3a204ffdf4a.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/webpack-5761f3a204ffdf4a.js	(from https://pepenftpulse.com/)
12:48:43	129979/129979	---M-Z	200	added ('OK')	application/javascript	etag:%22af3f2059afa1698882c96400fe2e154e-ssl-df%22	https://pepenftpulse.com/_next/static/chunks/framework-5f4595e5518b5600.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/framework-5f4595e5518b5600.js	(from https://pepenftpulse.com/)
12:48:44	100040/100040	---M-Z	200	added ('OK')	application/javascript	etag:%22285dbbfa160afdafebeb885e64e9e4af-ssl-df%22	https://pepenftpulse.com/_next/static/chunks/main-a054bbf31fb90f6a.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/main-a054bbf31fb90f6a.js	(from https://pepenftpulse.com/)
12:48:45	426149/426149	---MCZ	200	added ('OK')	application/javascript	etag:%221ffb4d8579778d688c7c92018891de2d-ssl-df%22	https://pepenftpulse.com/_next/static/chunks/pages/_app-2d13e1cd93eac944.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/pages/_app-2d13e1cd93eac944.js	(from https://pepenftpulse.com/)
12:48:45	461/461	---M--	200	added ('OK')	application/javascript	etag:%221a945d555eadcf20597b8fbb89c0480a-ssl%22	https://pepenftpulse.com/_next/static/chunks/9b380ffa-67128dc2ddb697d0.js	/Users/oneilbenjamin/websites/pepes/_next/static/chunks/9b380ffa-67128dc2ddb697d0.js	(from https://pepenftpulse.com/)
